,Job Title,Company Name,description,Posted Date,Job Type,Location
0,Magento Software Engineer (remote),JCI,"The DX Ducted Systems BE group has prioritized its E-Commerce sales channel as a critical growth engine for the business. Reporting to the Sr.Mgr E-Commerce Platform Architect, Magento Software Engineer will maintain Ducted Systems E-Commerce Magento 2 platforms while developing and growing its features and functionality. This position is 100% remote. PRINCIPAL DUTIES: Develop, upgrade, and support multiple responsive E-Commerce websites based on business needs.Help maintain the existing Magent",Posted 23 days ago,Full-time,Remote
1,PHP Developer,"HireTalent, LLC","Title: PHP Developer Duration:12 months Location: Remote We are looking for a PHP Web Software Engineer who will work in an Agile team responsible for modernizing and developing our Research websites (e.g., FRED, ALFRED, Research homepage, FRASER, Client History, Fed in Print). Responsibilities Write secure, production quality code using PHP, JavaScript, Linux, Docker, and Apache in an open-source development environment.Write automated tests such as unit, acceptance, and integration tests.Devel",Posted 9 days ago,Contract,Remote
2,Senior PHP Developer-Citizens,Tale Research,"Job Title: Senior PHP Developer-Senior Software Engineer Location: Remote Reports to: Manager, Software Engineering Role Responsibilities The PHP Developer-Senior Software Engineer is responsible for the design and development of software applications; including, but not limited to, updating internal websites. Develop new software applications as identified by supervisor and managementDevelop and maintain iOS, Android and HTML5 mobile applicationsMaintain and enhance existing integration of all",Posted 13 days ago,Full-time,Remote
3,PHP Developer,Altech Star Inc.,PHP programming: 5 years (Required)React/Angular: 2 years (Preferred)Experience with SQL/PLSQL.NET or C#:- 4years of experienceShopify nice to have at least 2 years’ experience,Posted 16 hours ago,"Contract, Third Party",Remote
4,PHP Developer,Avinya Infotech,"Position: PHP Symfony Developer Location: 100% Remote as per CST time Type: 6+ month contract Interviews: 2 Video Description: As a PHP developer, your job duties will be to develop, program, troubleshoot, debug, and maintain custom enterprise web applications. You will work with a team of software developers and business analysts, using PHP, Symfony, and other programming languages, to design and build business applications and deploy software into company networks and computers. You will par",Posted 2 days ago,Contract,Remote
5,Sr. PHP / Magento Full Stack Developer (Remote / Permanent),Vaco Technology,Vaco Technology in Memphis is seeking a Senior PHP / Magento 2.x Full Stack Developer to join our client's award-winning engineering team! Our client is not your standard Magento shop. Their engineering team is all about doing things no one has done before and setting the bar for what Magento is capable of. We are recruiting for a REMOTE PHP/Magento 2.0 developer for a permanent employment opportunity with a salary ranging from $140K to $185K (commensurate with experience). Requirements includ,Posted 15 days ago,Full-time,Remote
6,Senior PHP Software Engineer,"Atrilogy Solutions Group, Inc.","Our premier direct end client is looking for 100% Remote - Senior PHP Software Engineer, 6+ Months Contract. Find the below job description, share your updated resume, and best time to discuss. You can reach me at gvenkatesh@atrilogy.com or 949-202-5527 anytime. Duration: 6 Months Contract with possible Extensions Position: Senior PHP Software Engineer Location: 100% Remote Rates: $ Market Range and flexible Visa: USC / GCs and no sponsorship Top Skills: Identity monitoring service group, would",Posted 13 days ago,Contract,Remote
7,Software Engineer / .Net (PHP),Experis,Experis - A Manpower Company is engaged with one of the Education industries. We are looking to help our client to identify Software Engineer (.NET/PHP). This is 100% Remote Role. Great company to work with and exciting opportunity to grow both technical and leadership skills. Software Engineer /.NET (PHP) 184221 100% REMOTE Duration: Permanent Direct client: Full Time Position Department: IT - Enterprise Applications Required Education: Bachelor's degree (or foreign equivalent) in Computer,Posted 1 hour ago,Full-time,Remote
8,PHP Developer - REMOTE/Contract,Nutech Information Systems,"One of our retail clients is looking for PHP Developer. They are based in Ohio. It's a remote opportunity, long term Contract. PHP programming: 5 years (Required)React/Angular: 2 years (Preferred)Experience with SQL/PLSQL.NET or C#:- 4years of experienceShopify nice to have at least 2 years’ experience Thank you. Sarika Goel NuTech Information Systems 1177 Summer Street, #202 Stamford, CT 06905 Email: (P):ext. 222",Posted 15 hours ago,"Contract, Third Party",Remote
9,Software Engineer / .Net (PHP),Experis,Experis - A Manpower Company is engaged with one of the Education industries. We are looking to help our client to identify Software Engineer (.NET/PHP). This is 100% Remote Role. Great company to work with and exciting opportunity to grow both technical and leadership skills. ASSIGNMENT DETAILS: Title: Software Engineer / .Net (PHP) Client Location: Remote Role Job Type: Full Time Permanent Role Department: IT - Enterprise Applications Required Education: Bachelor's degree (or foreign equivalen,Posted 8 days ago,Full-time,Remote
